state,collection_date,Inpatient Beds Occupied Estimated,Percentage of Inpatient Beds Occupied Estimated,Total Inpatient Beds,Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Staffed Adult ICU Beds Occupied Estimated,Percentage of Staffed Adult ICU Beds Occupied Estimated,Total Staffed Adult ICU Beds
RI,2020-11-05,"1,718",86.68,"1,982",210,10.62,143,89.94,159
SD,2020-11-05,"1,572",66.5,"2,363",462,19.57,166,86.01,193
TX,2020-11-05,"45,716",77.66,"58,819","6,818",11.62,"5,960",85.69,"6,956"
VT,2020-11-05,342,51.51,664,5,0.75,27,45.0,60
WA,2020-11-05,"8,521",69.07,"12,336",509,4.13,939,71.3,"1,317"
WI,2020-11-05,"8,810",71.76,"12,277","2,040",17.11,"1,128",70.43,"1,602"
WV,2020-11-05,"3,891",75.57,"5,149",312,6.06,478,76.11,628
WY,2020-11-05,656,46.04,"1,425",152,10.73,62,49.6,125
CW,2020-11-06,"515,758",72.05,"715,799","61,349",8.61,"62,450",72.88,"85,691"
AL,2020-11-06,"10,491",74.5,"14,081","1,146",8.14,"1,278",84.8,"1,507"
AZ,2020-11-06,"9,642",71.87,"13,417","1,134",8.47,"1,131",58.69,"1,927"
CA,2020-11-06,"44,755",71.56,"62,540","3,478",5.57,"5,166",71.37,"7,238"
CT,2020-11-06,"5,841",71.77,"8,138",554,6.81,549,52.04,"1,055"
DC,2020-11-06,"2,433",83.61,"2,910",138,4.74,278,74.13,375
GA,2020-11-06,"14,746",77.22,"19,095","1,844",9.65,"2,200",83.03,"2,649"
ID,2020-11-06,"1,832",52.16,"3,512",322,9.17,210,71.19,295
IN,2020-11-06,"10,904",66.34,"16,437","2,029",12.34,"1,560",71.92,"2,169"
KS,2020-11-06,"4,699",60.46,"7,773",748,9.66,646,82.93,779
LA,2020-11-06,"8,574",67.31,"12,738",592,4.73,"1,235",68.46,"1,804"
MD,2020-11-06,"8,103",81.38,"9,957",996,10.0,952,76.04,"1,252"
MI,2020-11-06,"17,153",78.33,"21,900","2,435",11.12,"2,092",81.56,"2,565"
AK,2020-11-06,866,60.86,"1,423",106,7.45,94,69.63,135
AR,2020-11-06,"5,521",66.37,"8,318",787,9.47,773,77.53,997
CO,2020-11-06,"6,703",66.66,"10,055","1,076",10.71,944,72.63,"1,299"
DE,2020-11-06,"1,748",69.7,"2,508",155,6.18,139,80.81,172
FL,2020-11-06,"39,037",76.11,"51,289","3,646",7.25,"4,796",74.73,"6,417"
HI,2020-11-06,"1,693",68.24,"2,458",88,3.6,155,64.05,242
IA,2020-11-06,"5,282",66.85,"7,901",971,12.44,530,78.17,678
IL,2020-11-06,"20,137",67.07,"30,023","4,317",14.38,"2,399",63.31,"3,789"
KY,2020-11-06,"8,588",72.44,"11,856","1,165",9.83,"1,159",75.9,"1,527"
MA,2020-11-06,"11,848",68.14,"17,388",584,3.36,"1,022",53.48,"1,912"
ME,2020-11-06,"1,966",69.81,"2,817",64,2.27,233,72.14,323
MN,2020-11-06,"8,267",72.81,"11,354","1,287",11.34,785,80.27,978
MO,2020-11-06,"11,664",65.81,"17,723","2,002",11.3,"1,483",75.24,"1,971"
MS,2020-11-06,"5,163",64.37,"8,021",659,8.22,643,72.99,881
MT,2020-11-06,"1,932",68.05,"2,840",443,15.6,170,76.58,222
ND,2020-11-06,"1,584",79.88,"1,983",471,23.75,120,91.6,131
NH,2020-11-06,"1,947",66.95,"2,908",66,2.27,173,61.35,282
NJ,2020-11-06,"13,978",72.39,"19,310","1,441",7.46,"1,382",61.75,"2,238"
NV,2020-11-06,"5,611",76.78,"7,308",800,11.19,666,77.8,856
NY,2020-11-06,"39,858",73.4,"54,306","2,555",4.7,"4,207",61.23,"6,870"
OK,2020-11-06,"7,065",68.11,"10,374","1,078",10.64,884,75.99,"1,164"
PA,2020-11-06,"24,181",75.56,"32,003","2,225",7.02,"3,076",79.83,"3,853"
SC,2020-11-06,"7,417",77.04,"9,628",726,7.54,958,75.65,"1,267"
TN,2020-11-06,"12,222",74.12,"16,489","1,599",9.99,"1,725",81.99,"2,104"
UT,2020-11-06,"3,040",58.03,"5,239",405,7.73,430,68.25,630
VA,2020-11-06,"11,496",67.38,"17,062","1,036",6.07,"1,335",66.72,"2,001"
NC,2020-11-06,"16,051",75.14,"21,361","1,582",7.45,"1,905",78.49,"2,427"
NE,2020-11-06,"3,551",70.9,"5,008",783,15.89,424,67.95,624
NM,2020-11-06,"2,177",66.46,"3,275",578,17.64,324,85.34,380
OH,2020-11-06,"20,090",69.79,"28,787","2,468",8.59,"2,798",74.12,"3,775"
OR,2020-11-06,"4,797",72.62,"6,606",306,4.63,520,65.33,796
RI,2020-11-06,"1,703",86.98,"1,958",218,11.13,141,90.38,156
SD,2020-11-06,"1,552",65.73,"2,362",490,20.77,168,89.84,187
TX,2020-11-06,"45,838",77.05,"59,488","6,711",11.31,"5,982",84.76,"7,058"
VT,2020-11-06,338,50.9,664,9,1.36,29,48.33,60
WA,2020-11-06,"8,500",68.84,"12,347",512,4.14,924,70.17,"1,316"
WI,2020-11-06,"8,675",70.55,"12,296","2,035",17.07,"1,128",70.07,"1,609"
WV,2020-11-06,"3,874",75.4,"5,138",328,6.38,465,74.52,624
WY,2020-11-06,624,43.76,"1,426",159,11.23,65,52.0,125
CW,2020-11-07,"501,228",70.35,"712,460","62,572",8.83,"61,385",71.82,"85,468"
AL,2020-11-07,"10,045",70.97,"14,153","1,184",8.37,"1,270",84.55,"1,502"
AZ,2020-11-07,"9,386",70.96,"13,228","1,166",8.83,"1,136",59.48,"1,910"
CA,2020-11-07,"43,886",70.49,"62,260","3,564",5.73,"5,108",70.62,"7,233"
CT,2020-11-07,"5,780",71.09,"8,131",658,8.09,551,52.23,"1,055"
DC,2020-11-07,"2,368",81.85,"2,893",141,4.87,260,69.33,375
GA,2020-11-07,"14,363",75.32,"19,071","1,866",9.79,"2,157",81.62,"2,643"
ID,2020-11-07,"1,810",51.36,"3,524",337,9.56,208,70.51,295
IN,2020-11-07,"10,529",64.08,"16,430","2,071",12.6,"1,499",69.4,"2,160"
KS,2020-11-07,"4,455",58.23,"7,651",748,9.8,617,77.81,793
LA,2020-11-07,"8,268",65.38,"12,647",579,4.66,"1,227",68.28,"1,797"
MD,2020-11-07,"7,951",79.11,"10,051",996,9.91,954,76.42,"1,249"
MI,2020-11-07,"16,694",76.77,"21,745","2,531",11.64,"2,151",81.81,"2,629"
AK,2020-11-07,881,61.48,"1,433",122,8.51,85,66.93,127
AR,2020-11-07,"5,237",63.73,"8,218",780,9.49,734,73.47,999
CO,2020-11-07,"6,639",65.88,"10,077","1,164",11.55,942,73.36,"1,284"
DE,2020-11-07,"1,658",66.4,"2,497",157,6.29,131,76.16,172
FL,2020-11-07,"38,003",74.24,"51,187","3,751",7.48,"4,747",73.93,"6,422"
HI,2020-11-07,"1,666",67.2,"2,459",88,3.58,147,60.74,242
IA,2020-11-07,"5,181",65.48,"7,912","1,016",12.99,504,74.45,677
IL,2020-11-07,"19,614",65.57,"29,915","4,525",15.13,"2,358",62.2,"3,792"
KY,2020-11-07,"8,108",68.6,"11,818","1,127",9.54,"1,136",74.36,"1,527"
MA,2020-11-07,"11,530",66.33,"17,382",590,3.39,"1,015",53.06,"1,913"
ME,2020-11-07,"1,888",67.05,"2,816",67,2.37,240,74.38,322
MN,2020-11-07,"7,916",71.21,"11,116","1,326",11.93,764,76.55,998
MO,2020-11-07,"11,147",62.77,"17,759","2,023",11.39,"1,418",73.32,"1,934"
MS,2020-11-07,"5,024",63.09,"7,963",667,8.38,649,74.05,876
MT,2020-11-07,"1,905",68.5,"2,781",447,16.07,166,75.0,222
ND,2020-11-07,"1,537",78.7,"1,953",501,25.65,116,89.23,130
NH,2020-11-07,"1,863",64.06,"2,908",77,2.65,165,58.51,282
NJ,2020-11-07,"13,291",69.3,"19,178","1,480",7.72,"1,383",61.71,"2,241"
NV,2020-11-07,"5,526",75.11,"7,357",864,12.01,666,78.02,853
NY,2020-11-07,"38,858",71.93,"54,023","2,644",4.89,"4,133",60.46,"6,836"
OK,2020-11-07,"6,685",65.06,"10,275","1,093",10.89,857,73.29,"1,169"
PA,2020-11-07,"23,629",74.08,"31,898","2,357",7.46,"3,001",78.06,"3,845"
SC,2020-11-07,"7,218",75.26,"9,591",710,7.4,956,76.54,"1,249"
TN,2020-11-07,"11,819",71.97,"16,423","1,577",9.9,"1,656",78.67,"2,105"
UT,2020-11-07,"2,968",56.66,"5,239",432,8.24,414,65.71,630
VA,2020-11-07,"11,073",64.87,"17,069","1,061",6.22,"1,317",65.0,"2,026"
NC,2020-11-07,"15,500",72.76,"21,303","1,522",7.19,"1,875",77.45,"2,421"
NE,2020-11-07,"3,423",68.53,"4,995",780,15.88,410,65.71,624
NM,2020-11-07,"2,147",66.35,"3,236",582,17.98,318,83.17,382
OH,2020-11-07,"19,654",68.25,"28,796","2,515",8.75,"2,696",71.19,"3,787"
OR,2020-11-07,"4,670",70.98,"6,579",345,5.24,511,64.49,792
RI,2020-11-07,"1,620",81.98,"1,976",227,11.49,136,87.18,156
SD,2020-11-07,"1,539",65.52,"2,349",512,21.8,161,83.42,193
TX,2020-11-07,"44,936",76.93,"58,414","6,551",11.24,"5,846",85.31,"6,852"
VT,2020-11-07,341,51.36,664,4,0.6,31,51.67,60
WA,2020-11-07,"8,284",67.35,"12,299",524,4.26,939,70.5,"1,332"
WI,2020-11-07,"8,479",68.88,"12,310","2,044",17.11,"1,093",68.27,"1,601"
WV,2020-11-07,"3,622",71.27,"5,082",318,6.26,476,75.8,628
WY,2020-11-07,615,43.13,"1,426",160,11.3,55,43.73,125
CW,2020-11-08,"490,029",69.02,"709,994","64,255",9.09,"60,784",71.16,"85,415"
AL,2020-11-08,"9,838",69.49,"14,158","1,226",8.66,"1,233",82.53,"1,494"
AZ,2020-11-08,"9,181",69.87,"13,140","1,231",9.38,"1,122",58.22,"1,928"
CA,2020-11-08,"42,454",68.96,"61,560","3,682",5.99,"5,016",69.83,"7,184"
CT,2020-11-08,"5,712",70.24,"8,132",651,8.01,537,50.9,"1,055"
DC,2020-11-08,"2,341",82.08,"2,852",149,5.22,270,72.78,371
GA,2020-11-08,"14,108",74.14,"19,028","1,866",9.81,"2,085",78.95,"2,641"
ID,2020-11-08,"1,802",51.35,"3,509",354,10.1,204,68.92,296
IN,2020-11-08,"10,408",63.5,"16,390","2,176",13.28,"1,494",69.41,"2,153"
KS,2020-11-08,"4,336",56.74,"7,643",770,10.07,611,77.0,794
LA,2020-11-08,"8,172",64.47,"12,676",625,5.03,"1,193",66.95,"1,782"
MD,2020-11-08,"7,773",77.57,"10,020","1,026",10.24,943,74.72,"1,262"
MI,2020-11-08,"16,202",74.54,"21,735","2,646",12.17,"2,111",81.42,"2,593"
AK,2020-11-08,854,60.06,"1,422",119,8.37,78,62.4,125
AR,2020-11-08,"5,071",62.29,"8,141",786,9.66,739,75.1,984
CO,2020-11-08,"6,361",62.96,"10,104","1,131",11.19,931,72.34,"1,287"
DE,2020-11-08,"1,597",64.63,"2,471",165,6.68,122,70.93,172
FL,2020-11-08,"37,252",72.92,"51,085","3,839",7.67,"4,655",72.75,"6,399"
HI,2020-11-08,"1,689",68.05,"2,464",86,3.49,131,54.58,240
IA,2020-11-08,"4,986",63.01,"7,913","1,060",13.56,490,72.41,676
IL,2020-11-08,"19,118",63.92,"29,911","4,616",15.43,"2,312",60.97,"3,793"
KY,2020-11-08,"7,991",67.62,"11,817","1,159",9.81,"1,157",75.77,"1,527"
MA,2020-11-08,"11,267",64.85,"17,375",594,3.42,992,51.86,"1,913"
ME,2020-11-08,"1,802",63.6,"2,834",77,2.71,235,73.55,320
MN,2020-11-08,"7,682",70.12,"10,955","1,373",12.53,760,76.31,996
MO,2020-11-08,"10,887",61.8,"17,617","2,116",12.01,"1,447",74.9,"1,932"
MS,2020-11-08,"4,904",61.71,"7,947",698,8.78,649,75.33,862
MT,2020-11-08,"1,850",66.65,"2,775",458,16.49,170,77.4,219
ND,2020-11-08,"1,485",76.94,"1,930",480,24.87,122,94.57,129
NH,2020-11-08,"1,810",62.19,"2,910",76,2.59,164,57.98,282
NJ,2020-11-08,"13,133",68.44,"19,188","1,589",8.28,"1,364",60.97,"2,237"
NV,2020-11-08,"5,459",74.5,"7,328",867,12.1,681,80.21,849
NY,2020-11-08,"38,055",70.39,"54,064","2,587",4.79,"4,048",59.02,"6,859"
OK,2020-11-08,"6,580",63.91,"10,295","1,073",10.67,871,73.96,"1,178"
PA,2020-11-08,"22,935",72.15,"31,787","2,452",7.79,"2,992",77.78,"3,846"
SC,2020-11-08,"7,158",74.8,"9,569",701,7.33,940,75.28,"1,248"
TN,2020-11-08,"11,832",71.73,"16,495","1,656",10.34,"1,722",80.09,"2,150"
UT,2020-11-08,"2,853",54.45,"5,239",442,8.44,422,66.98,630
VA,2020-11-08,"10,847",63.56,"17,066","1,114",6.53,"1,282",63.21,"2,028"
NC,2020-11-08,"15,348",72.12,"21,281","1,587",7.5,"1,877",77.63,"2,418"
NE,2020-11-08,"3,380",67.53,"5,005",823,16.71,432,68.9,627
NM,2020-11-08,"2,138",66.07,"3,236",598,18.48,313,82.59,379
OH,2020-11-08,"19,102",66.88,"28,562","2,642",9.27,"2,669",71.04,"3,757"
OR,2020-11-08,"4,554",69.21,"6,579",350,5.32,494,62.31,792
RI,2020-11-08,"1,588",82.54,"1,924",239,12.42,139,89.68,155
SD,2020-11-08,"1,498",64.07,"2,339",532,22.77,176,87.56,201
TX,2020-11-08,"43,979",75.98,"57,886","6,632",11.49,"5,857",84.65,"6,919"
VT,2020-11-08,343,51.66,664,6,0.9,31,51.67,60
WA,2020-11-08,"7,934",65.16,"12,176",530,4.35,900,68.13,"1,321"
WI,2020-11-08,"8,228",66.94,"12,292","2,099",17.6,"1,054",65.91,"1,600"
WV,2020-11-08,"3,541",69.7,"5,080",324,6.37,490,78.03,628
WY,2020-11-08,612,42.95,"1,426",178,12.54,57,45.47,125
CW,2020-11-09,"495,532",69.8,"709,887","67,209",9.51,"60,984",71.52,"85,264"
AL,2020-11-09,"10,262",72.84,"14,089","1,290",9.16,"1,283",85.14,"1,507"
AZ,2020-11-09,"9,096",69.01,"13,180","1,264",9.61,"1,078",56.0,"1,925"
CA,2020-11-09,"42,048",68.28,"61,582","3,834",6.24,"4,942",68.88,"7,175"
CT,2020-11-09,"5,738",70.48,"8,141",687,8.44,529,50.14,"1,055"
DC,2020-11-09,"2,365",82.2,"2,877",180,6.26,268,73.63,364
GA,2020-11-09,"14,344",76.4,"18,774","1,926",10.26,"2,120",80.42,"2,636"
ID,2020-11-09,"1,862",53.18,"3,501",356,10.17,202,68.24,296
IN,2020-11-09,"10,513",64.07,"16,409","2,322",14.15,"1,498",69.71,"2,149"
KS,2020-11-09,"4,376",57.5,"7,611",800,10.51,619,80.6,768
LA,2020-11-09,"8,358",65.65,"12,732",649,5.19,"1,210",67.1,"1,804"
MD,2020-11-09,"7,887",78.74,"10,017","1,124",11.22,963,76.25,"1,263"
MI,2020-11-09,"16,462",75.13,"21,911","2,860",13.05,"2,122",81.18,"2,614"
AK,2020-11-09,834,59.83,"1,394",122,8.75,85,63.91,133
AR,2020-11-09,"5,177",62.97,"8,222",821,9.98,750,75.0,"1,000"
CO,2020-11-09,"6,574",65.1,"10,098","1,174",11.63,935,72.2,"1,295"
DE,2020-11-09,"1,637",66.14,"2,475",179,7.23,135,78.49,172
FL,2020-11-09,"37,863",74.07,"51,118","3,995",7.97,"4,700",73.49,"6,395"
HI,2020-11-09,"1,654",66.59,"2,466",77,3.12,136,59.65,228
IA,2020-11-09,"5,123",64.86,"7,899","1,142",14.63,534,78.4,680
IL,2020-11-09,"19,530",65.08,"30,007","4,776",15.92,"2,353",61.92,"3,800"
KY,2020-11-09,"8,196",69.15,"11,853","1,213",10.23,"1,144",74.92,"1,527"
MA,2020-11-09,"11,373",65.39,"17,393",619,3.56,961,50.24,"1,913"
ME,2020-11-09,"1,855",66.13,"2,805",81,2.88,220,68.75,320
MN,2020-11-09,"7,672",71.61,"10,713","1,426",13.32,740,75.66,978
MO,2020-11-09,"10,941",63.22,"17,305","2,203",12.73,"1,473",75.27,"1,957"
MS,2020-11-09,"5,188",64.72,"8,015",707,8.83,696,78.29,889
MT,2020-11-09,"1,888",67.9,"2,781",445,16.01,163,74.09,220
ND,2020-11-09,"1,538",76.4,"2,013",504,25.04,122,93.13,131
NH,2020-11-09,"1,803",61.79,"2,918",86,2.95,166,58.69,282
NJ,2020-11-09,"13,631",70.8,"19,253","1,695",8.8,"1,394",62.37,"2,235"
NV,2020-11-09,"5,491",75.08,"7,314",891,12.46,657,77.2,851
NY,2020-11-09,"38,754",71.93,"53,880","2,767",5.14,"4,028",59.68,"6,749"
OK,2020-11-09,"6,663",64.25,"10,370","1,154",11.42,886,75.15,"1,179"
PA,2020-11-09,"23,040",72.62,"31,729","2,586",8.23,"2,989",78.16,"3,824"
SC,2020-11-09,"7,408",76.99,"9,622",758,7.88,949,75.2,"1,262"
TN,2020-11-09,"12,106",73.34,"16,507","1,737",10.84,"1,770",83.41,"2,122"
UT,2020-11-09,"2,788",53.21,"5,239",454,8.67,422,66.56,634
VA,2020-11-09,"11,180",65.48,"17,075","1,132",6.63,"1,312",65.83,"1,993"
NC,2020-11-09,"15,783",73.95,"21,342","1,626",7.66,"1,887",77.78,"2,426"
NE,2020-11-09,"3,454",69.12,"4,998",860,17.49,443,70.99,624
NM,2020-11-09,"2,162",66.43,"3,255",627,19.25,304,81.36,374
OH,2020-11-09,"19,514",68.02,"28,691","2,777",9.7,"2,659",71.06,"3,742"
OR,2020-11-09,"4,559",69.65,"6,546",365,5.58,500,63.4,789
RI,2020-11-09,"1,595",83.2,"1,917",229,11.95,135,84.91,159
SD,2020-11-09,"1,482",63.28,"2,342",527,22.5,168,85.71,196
TX,2020-11-09,"42,942",74.21,"57,868","6,838",11.85,"5,840",84.65,"6,898"
VT,2020-11-09,327,48.37,676,10,1.48,26,44.07,59
WA,2020-11-09,"7,878",64.99,"12,122",570,4.71,902,68.65,"1,314"
WI,2020-11-09,"8,383",68.26,"12,281","2,228",18.7,"1,034",64.38,"1,606"
WV,2020-11-09,"3,618",70.44,"5,136",324,6.32,467,74.6,626
WY,2020-11-09,618,43.3,"1,426",190,13.42,66,52.4,125
CW,2020-11-10,"522,321",73.09,"714,584","71,273",10.02,"63,625",74.47,"85,442"
AL,2020-11-10,"10,838",76.86,"14,101","1,326",9.4,"1,313",87.24,"1,505"
AZ,2020-11-10,"9,670",72.5,"13,339","1,334",10.02,"1,167",60.53,"1,928"
CA,2020-11-10,"44,416",71.06,"62,506","3,993",6.4,"5,160",71.42,"7,224"
CT,2020-11-10,"6,007",73.78,"8,142",728,8.94,557,52.8,"1,055"
DC,2020-11-10,"2,435",83.22,"2,926",185,6.32,276,75.2,367
GA,2020-11-10,"14,899",78.97,"18,866","1,957",10.37,"2,188",82.34,"2,658"
ID,2020-11-10,"1,926",54.87,"3,510",369,10.51,203,68.81,295
IN,2020-11-10,"11,091",67.31,"16,477","2,532",15.37,"1,585",73.52,"2,156"
KS,2020-11-10,"4,722",61.89,"7,629",850,11.14,638,83.18,767
LA,2020-11-10,"8,763",68.72,"12,752",656,5.24,"1,238",69.2,"1,789"
MD,2020-11-10,"8,257",82.02,"10,067","1,185",11.77,"1,026",80.72,"1,271"
MI,2020-11-10,"17,429",79.5,"21,922","3,012",13.74,"2,156",82.77,"2,605"
AK,2020-11-10,866,61.12,"1,417",119,8.4,94,67.63,139
AR,2020-11-10,"5,602",66.8,"8,386",866,10.33,784,77.87,"1,008"
CO,2020-11-10,"6,915",68.69,"10,066","1,273",12.65,962,74.27,"1,296"
DE,2020-11-10,"1,742",70.19,"2,482",171,6.89,146,83.91,174
FL,2020-11-10,"40,192",77.97,"51,546","4,244",8.4,"4,888",77.99,"6,268"
HI,2020-11-10,"1,711",68.54,"2,476",84,3.39,140,59.28,237
IA,2020-11-10,"5,407",68.86,"7,852","1,222",15.76,556,82.25,676
IL,2020-11-10,"20,565",68.47,"30,034","5,162",17.19,"2,457",64.47,"3,811"
KY,2020-11-10,"8,568",72.29,"11,853","1,301",10.98,"1,156",75.67,"1,527"
MA,2020-11-10,"11,806",67.84,"17,404",652,3.75,"1,007",52.64,"1,913"
ME,2020-11-10,"1,947",69.14,"2,816",85,3.03,238,73.42,324
MN,2020-11-10,"8,083",74.03,"10,919","1,540",14.1,783,79.57,984
MO,2020-11-10,"11,593",65.97,"17,574","2,277",12.96,"1,479",76.24,"1,940"
MS,2020-11-10,"5,459",67.02,"8,145",725,8.9,698,79.35,879
MT,2020-11-10,"1,976",70.3,"2,812",446,15.86,174,78.96,221
ND,2020-11-10,"1,614",80.1,"2,015",520,25.81,121,93.08,130
NH,2020-11-10,"1,968",67.58,"2,912",91,3.12,177,62.32,284
NJ,2020-11-10,"14,447",74.72,"19,336","1,861",9.62,"1,478",65.95,"2,241"
NV,2020-11-10,"5,608",76.57,"7,324",949,13.26,699,81.56,857
NY,2020-11-10,"40,406",74.68,"54,103","3,028",5.6,"4,215",62.34,"6,761"
OK,2020-11-10,"7,121",68.21,"10,440","1,196",11.77,884,75.26,"1,175"
PA,2020-11-10,"24,352",76.45,"31,853","2,794",8.86,"3,179",83.17,"3,823"
SC,2020-11-10,"7,728",79.93,"9,669",774,8.0,981,77.67,"1,263"
TN,2020-11-10,"12,547",75.98,"16,513","1,797",11.21,"1,835",86.56,"2,120"
UT,2020-11-10,"2,987",57.1,"5,231",469,8.97,435,69.05,630
VA,2020-11-10,"11,835",69.33,"17,071","1,246",7.3,"1,427",70.16,"2,034"
NC,2020-11-10,"16,484",76.95,"21,421","1,681",7.89,"1,952",80.53,"2,424"
NE,2020-11-10,"3,618",72.18,"5,012",906,18.38,442,70.95,623
NM,2020-11-10,"2,194",67.52,"3,249",625,19.25,316,83.75,377
OH,2020-11-10,"20,815",72.3,"28,789","3,040",10.58,"2,866",76.16,"3,763"
OR,2020-11-10,"4,697",71.06,"6,610",388,5.87,525,66.37,791
RI,2020-11-10,"1,675",85.59,"1,957",244,12.47,133,89.26,149
SD,2020-11-10,"1,546",65.65,"2,355",523,22.21,168,83.54,200
TX,2020-11-10,"45,740",77.67,"58,886","7,384",12.57,"6,104",86.85,"7,028"
VT,2020-11-10,354,52.37,676,12,1.78,30,50.85,59
WA,2020-11-10,"8,359",68.22,"12,252",609,4.97,924,69.78,"1,324"
WI,2020-11-10,"8,884",72.08,"12,324","2,304",19.26,"1,120",69.18,"1,619"
WV,2020-11-10,"3,817",74.26,"5,140",350,6.8,480,76.76,626
WY,2020-11-10,641,44.95,"1,426",187,13.21,64,51.2,125
CW,2020-11-11,"532,160",74.28,"716,519","72,960",10.23,"64,545",75.19,"85,847"
AK,2020-11-11,935,65.71,"1,423",115,8.08,95,68.35,139
AL,2020-11-11,"11,066",78.49,"14,099","1,330",9.43,"1,334",88.76,"1,503"
AR,2020-11-11,"5,635",67.12,"8,395",825,9.86,781,76.49,"1,021"
AZ,2020-11-11,"9,779",72.96,"13,403","1,377",10.29,"1,199",62.22,"1,927"
CA,2020-11-11,"45,460",72.45,"62,743","4,037",6.44,"5,267",72.47,"7,268"
CO,2020-11-11,"7,061",70.11,"10,072","1,324",13.15,982,74.73,"1,314"
CT,2020-11-11,"6,159",75.26,"8,184",799,9.76,578,54.79,"1,055"
DC,2020-11-11,"2,531",86.15,"2,938",190,6.47,285,77.24,369
DE,2020-11-11,"1,769",70.99,"2,492",177,7.1,151,86.78,174
FL,2020-11-11,"40,832",78.92,"51,739","4,122",8.13,"4,988",79.9,"6,243"
GA,2020-11-11,"15,448",81.26,"19,011","2,006",10.55,"2,245",84.3,"2,663"
HI,2020-11-11,"1,739",69.7,"2,475",78,3.15,147,62.55,235
IA,2020-11-11,"5,410",68.96,"7,845","1,235",15.94,549,81.21,676
ID,2020-11-11,"1,950",55.16,"3,535",386,10.92,211,71.28,296
IL,2020-11-11,"21,033",70.39,"29,879","5,345",17.89,"2,462",65.03,"3,786"
IN,2020-11-11,"11,505",69.6,"16,530","2,560",15.49,"1,677",77.71,"2,158"
KS,2020-11-11,"4,863",63.64,"7,641",931,12.18,629,81.37,773
KY,2020-11-11,"8,632",72.82,"11,854","1,334",11.25,"1,144",74.92,"1,527"
LA,2020-11-11,"8,909",69.82,"12,760",653,5.21,"1,267",70.23,"1,804"
MA,2020-11-11,"12,020",69.11,"17,393",668,3.84,"1,006",52.59,"1,913"
MD,2020-11-11,"8,442",83.46,"10,115","1,235",12.21,"1,023",79.43,"1,288"
ME,2020-11-11,"1,960",69.09,"2,837",91,3.21,242,74.92,323
MI,2020-11-11,"17,553",80.07,"21,923","3,155",14.39,"2,175",83.08,"2,618"
MN,2020-11-11,"8,145",74.64,"10,912","1,614",14.79,803,81.03,991
MS,2020-11-11,"5,480",67.65,"8,100",733,9.05,704,69.98,"1,006"
NV,2020-11-11,"5,672",77.65,"7,305",945,13.24,704,81.29,866
MO,2020-11-11,"11,783",67.21,"17,532","2,360",13.46,"1,502",77.42,"1,940"
MT,2020-11-11,"2,049",72.35,"2,832",440,15.54,176,78.57,224
NC,2020-11-11,"16,650",77.57,"21,465","1,711",8.02,"1,973",81.26,"2,428"
ND,2020-11-11,"1,622",80.62,"2,012",505,25.1,131,93.57,140
NE,2020-11-11,"3,637",72.48,"5,018",922,18.67,440,70.51,624
NH,2020-11-11,"1,999",68.65,"2,912",95,3.26,189,66.78,283
NJ,2020-11-11,"14,691",75.77,"19,389","1,884",9.72,"1,492",66.55,"2,242"
NM,2020-11-11,"2,736",74.71,"3,662",622,16.99,384,101.59,378
NY,2020-11-11,"40,647",74.88,"54,282","3,008",5.54,"4,207",62.11,"6,773"
OH,2020-11-11,"21,154",72.74,"29,080","3,235",11.15,"2,931",77.89,"3,763"
OK,2020-11-11,"7,387",70.62,"10,460","1,210",11.86,911,77.53,"1,175"
OR,2020-11-11,"4,788",72.39,"6,614",395,5.97,538,67.93,792
PA,2020-11-11,"24,848",77.53,"32,050","2,960",9.33,"3,181",82.58,"3,852"
RI,2020-11-11,"1,728",88.52,"1,952",246,12.6,142,89.31,159
SC,2020-11-11,"7,922",79.59,"9,954",765,7.69,978,77.56,"1,261"
SD,2020-11-11,"1,582",67.06,"2,359",525,22.26,178,84.76,210
TN,2020-11-11,"12,848",77.57,"16,563","1,902",11.83,"1,873",83.92,"2,232"
TX,2020-11-11,"46,199",79.12,"58,551","7,670",13.13,"6,120",87.3,"7,010"
UT,2020-11-11,"3,117",59.72,"5,219",486,9.31,450,72.58,620
VA,2020-11-11,"12,108",70.83,"17,094","1,227",7.18,"1,388",68.51,"2,026"
VT,2020-11-11,368,54.44,676,14,2.07,34,54.84,62
WA,2020-11-11,"8,614",70.02,"12,303",637,5.18,976,72.67,"1,343"
WV,2020-11-11,"4,064",78.81,"5,157",379,7.35,503,80.35,626
WY,2020-11-11,675,47.34,"1,426",197,13.91,62,49.6,125
WI,2020-11-11,"8,956",72.49,"12,354","2,300",19.19,"1,138",70.12,"1,623"
CW,2020-11-12,"531,425",74.34,"714,970","74,350",10.45,"64,366",74.81,"86,044"
AL,2020-11-12,"11,097",78.47,"14,141","1,317",9.31,"1,319",87.52,"1,507"
AZ,2020-11-12,"9,886",73.36,"13,476","1,370",10.18,"1,208",62.92,"1,920"
CA,2020-11-12,"45,275",72.42,"62,521","4,169",6.68,"5,298",72.95,"7,263"
CT,2020-11-12,"6,220",75.94,"8,191",846,10.33,576,54.6,"1,055"
DC,2020-11-12,"2,489",83.95,"2,965",189,6.37,283,76.69,369
GA,2020-11-12,"15,466",81.77,"18,913","2,044",10.81,"2,250",84.81,"2,653"
